(185.0411, 457.8824)
(186.8032, 449.9557)
(193.0671, 450.2405)
(200.7237, 426.3461)
(200.5698, 422.6481)
(217.4682, 434.3839)
(223.1549, 439.8027)
(221.5852, 442.8863)
(220.3846, 445.7332)
(240.1457, 447.0177)
(241.5308, 456.4574)
(259.0682, 473.7961)
(241.4387, 467.413)
(216.8989, 455.126)
(213.3513, 468.0186)
(198.3921, 464.6812)
(195.8296, 456.6559)
(177.1689, 473.4482)
(210.8965, 483.1418)
(211.3891, 494.3396)
(189.2424, 494.4211)
(183.4559, 511.9622)
(161.3631, 498.9566)
(156.1843, 478.0915)
(167.9271, 467.5436)
(164.6875, 468.4602)
(131.1445, 469.3505)
(129.89, 468.0923)
(134.1915, 456.1702)
(132.2601, 445.9272)
(172.8596, 425.6006)
(166.4495, 421.4053)
(159.6932, 407.1915)
(172.6288, 384.1624)
(164.4567, 377.0666)
(152.8985, 364.8515)
(139.3703, 396.5285)
(141.656, 403.1923)
(138.3854, 403.3032)
(137.4774, 401.5232)
(107.3511, 383.8977)
(113.5841, 370.0434)
(123.1954, 370.6589)
(126.5582, 364.1334)
(104.3268, 361.5271)
(92.3687, 360.5521)
(119.2401, 342.3762)
(102.1338, 339.9177)
(90.1677, 337.1314)
(83.1961, 312.4837)
(76.4782, 318.8415)
(73.0692, 322.5307)
(58.2484, 315.9074)
(62.3808, 304.8234)
(86.0278, 258.795)
(78.7481, 240.4067)
(69.568, 209.44)
(61.1418, 223.9082)
(44.1048, 230.5339)
(32.5543, 253.1443)
(40.6728, 274.8569)
(10.0, 348.5178)
(64.343, 347.5914)
(50.2224, 363.5264)
(56.848, 374.9805)
(44.6588, 374.5512)
(38.5258, 394.2644)
(21.8275, 398.3207)
(35.4478, 404.1474)
(35.1323, 412.6821)
(47.883, 419.1159)
(53.4775, 422.3532)
(67.0748, 402.6575)
(83.958, 397.1226)
(82.3572, 401.13)
(86.8511, 414.2334)
(91.2606, 424.4556)
(78.8713, 433.6867)
(113.2301, 431.7782)
(98.1168, 445.3539)
(92.8381, 447.7472)
(78.5636, 446.8154)
(74.893, 454.6214)
(61.1034, 452.6183)
(49.0066, 458.3525)
(34.5242, 446.4227)
(20.8193, 442.4575)
(25.852, 446.4436)
(36.8099, 461.7386)
(31.2387, 475.1187)
(29.4301, 496.913)
(41.4347, 480.3523)
(46.3979, 472.4286)
(50.2608, 484.2443)
(67.5364, 481.785)
(80.3334, 469.8223)
(95.7545, 457.5137)
(95.5851, 462.381)
(98.8173, 465.3137)
(103.5264, 469.035)
(103.7113, 456.3941)
(106.9355, 452.7337)
(115.0229, 449.7703)
(123.5109, 461.1183)
(127.0198, 483.6251)
(127.3815, 493.527)
(133.9839, 511.9807)
(125.7346, 507.8907)
(113.3918, 489.8273)
(99.4867, 490.3135)
(98.217, 495.9809)
(60.0107, 500.4088)
(66.0281, 516.1283)
(64.4429, 518.6061)
(57.248, 521.695)
(66.236, 523.4625)
(70.9991, 523.6989)
(84.0734, 526.3284)
(78.3867, 537.3053)
(75.2392, 544.2772)
(72.6998, 546.7787)
(71.2302, 546.4942)
(73.0, 551.065)
(73.0537, 551.0936)
(57.7945, 558.2706)
(57.0941, 568.736)
(64.3815, 577.2832)
(66.9362, 565.9988)
(66.9594, 566.009)
(68.3061, 564.0714)
(70.0681, 562.2153)
(70.8378, 560.6447)
(78.6867, 566.3613)
(83.0884, 560.4655)
(79.6332, 555.686)
(81.7108, 555.2674)
(94.0231, 544.9736)
(97.5165, 550.7033)
(97.4628, 555.6997)
(91.3605, 560.6239)
(94.5772, 565.5134)
(94.9079, 565.6657)
(86.2741, 569.0346)
(71.0069, 591.0435)
(80.0334, 602.3431)
(88.1671, 607.8943)
(86.7512, 597.7461)
(94.8619, 599.7414)
(100.033, 583.8346)
(106.9125, 578.0427)
(103.0726, 573.9356)
(103.3726, 561.0241)
(109.9058, 566.6506)
(130.8442, 553.4028)
(133.7991, 550.3993)
(155.4841, 547.7407)
(160.5628, 563.3918)
(148.7585, 568.9569)
(144.5569, 576.4812)
(134.2225, 575.9787)
(129.5208, 588.7557)
(128.4127, 588.1169)
(121.9871, 586.2939)
(122.7952, 594.538)
(116.6082, 597.0088)
(104.3885, 605.1425)
(112.6838, 614.7259)
(117.6086, 634.2963)
(125.6501, 646.7032)
(126.0348, 652.1989)
(133.6992, 636.5363)
(159.3315, 664.9953)
(179.8238, 664.2727)
(204.956, 660.1472)
(191.8973, 653.9719)
(183.7329, 646.1259)
(183.7096, 642.4778)
(208.3111, 625.807)
(194.0211, 619.8879)
(185.8412, 599.3449)
(157.9464, 615.2562)
(157.831, 596.0022)
(167.1652, 578.0288)
(180.9241, 569.4703)
(186.9725, 560.6763)
(191.2126, 565.4827)
(197.6534, 561.759)
(196.1374, 551.556)
(191.0662, 538.7652)
(193.5595, 527.8311)
(199.5232, 530.9622)
(206.7488, 539.012)
(202.6936, 543.3515)
(209.4884, 551.3121)
(229.788, 537.7517)
(224.894, 557.7644)
(227.4874, 583.2768)
(248.826, 592.5763)
(238.3991, 566.2537)
(240.5074, 566.4452)
(246.5558, 560.7308)
(248.6873, 560.6562)
(249.126, 562.1637)
(270.7031, 570.3399)
(290.7797, 576.338)
(292.2647, 594.7234)
(276.4515, 596.1745)
(245.4399, 632.8104)
(273.5888, 625.1183)
(293.2652, 616.9876)
(293.7038, 623.4177)
(320.7139, 619.0753)
(353.3411, 622.3911)
(360.7746, 625.0783)
(365.8225, 619.1862)
(379.0197, 615.8341)
(397.588, 620.4212)
(386.5763, 640.0222)
(356.1498, 648.3461)
(345.6305, 664.5481)
(336.9505, 660.7328)
(316.7893, 658.7161)
(306.9394, 660.826)
(305.1696, 659.2592)
(304.3001, 668.4596)
(298.8982, 664.8198)
(290.8182, 668.8566)
(274.9584, 665.0105)
(247.5485, 679.3865)
(209.1729, 699.1709)
(192.6899, 695.8089)
(213.3668, 711.2914)
(253.0506, 706.9359)
(257.0751, 704.2565)
(286.4552, 733.3871)
(319.6672, 692.336)
(361.0361, 687.8982)
(368.3158, 686.277)
(345.5613, 698.6083)
(329.9402, 740.9576)
(375.9571, 748.1034)
(399.435, 758.0)
(397.8035, 741.5862)
(417.9416, 727.8882)
(427.7374, 743.2139)
(458.672, 750.8983)
(480.0184, 749.7338)
(489.7757, 748.1665)
(465.3129, 736.6259)
(448.8377, 729.9198)
(431.4235, 694.8445)
(404.8139, 700.5883)
(404.6138, 695.1346)
(430.2232, 666.9219)
(448.122, 684.0367)
(451.6077, 668.9527)
(471.469, 664.1402)
(484.8814, 691.3609)
(496.2625, 638.8749)
(487.9135, 623.3661)
(492.8383, 576.595)
(480.8879, 579.4008)
(472.2154, 573.9917)
(460.4419, 552.3556)
(444.3743, 552.8495)
(426.3371, 540.1202)
(422.7819, 535.968)
(429.6999, 583.7507)
(431.9161, 594.8933)
(440.7655, 594.7525)
(451.0229, 605.1395)
(443.5047, 626.0718)
(419.2575, 612.8039)
(421.5969, 609.4587)
(411.5162, 596.9396)
(415.0174, 592.9225)
(410.8006, 573.4986)
(391.2166, 553.9638)
(389.2542, 543.5345)
(364.8221, 520.0705)
(385.4682, 512.8932)
(388.1153, 494.412)
(372.2249, 491.3471)
(355.3957, 500.625)
(348.4855, 521.3886)
(334.9344, 524.7824)
(331.8716, 533.5717)
(357.0039, 533.1539)
(369.5241, 542.3273)
(379.5815, 564.8354)
(369.57, 575.3801)
(348.8317, 588.6063)
(350.2323, 569.9258)
(342.4141, 575.7864)
(327.5394, 587.58)
(327.4547, 595.3113)
