0, 65 70 700 670 740 7500 7400;
1, 67 740 720 700 670 680 690 7000 6700 7200;
2, 67 720 700 670 740 7500 7400;
3, 67 740 750 740 720 7400 7200 6900 6500;
4, 67 740 750 740 700 720 740 7400;
5, 70 820 790 770 700 7700 7500;
6, 74 75 77 700 720 740 7400;
7, 70 820 790 770 700 7700 7500;
8, 74 75 77 700 720 740 7400;
9, 70 820 790 770 700 7700 7500;
10, 74 75 77 700 720 740 7400;
11, 70 820 790 770 700 7700 7500;
12, 74 75 77 700 720 670 700 7500 7200;
13, 74 75 77 700 720 740 7400;
14, 70 820 790 770 700 7700 7500;
15, 74 75 77 700 720 700 670 740 7500 7400;
16, 67 740 720 700 670 730 700 7200;
17, 74 75 77 700 720 700 670 730 700 7200;
18, 70 67 740 750 740 720 7400 7200 6900 6500;
19, 67 740 750 740 720 700 670 740 7500 7400;
20, 67 740 750 740 720 700 670 6500;
21, 70 700 670 680 690 7000 6700 7200;
22, 67 740 750 740 720 700 670 730 700 7200 7000;
23, 74 75 77 700 720 700 670 740 7500 7400;
24, 67 740 750 740 720 7400 7200 6900 6500;
25, 67 720 700 670 7500 7400 7000 7200;
26, 70 700 670 730 700 7200 7000;
27, 67 720 700 670 680 690 7000 6700 7200;
28, 67 740 750 740 720 700 670 680 690 7000 6700 7200;
29, 67 720 700 7000;
30, 67 70 700 670 7500 7400 7000 7200;
31, 70 67 740 750 740 720 700 670 750 740 720 700 7000;
32, 67 740 750 740 720 700 670 680 690 7000 6700 7200;
33, 74 75 77 700 720 740 7400;
34, 70 820 790 770 700 7700 7500;
35, 74 75 77 700 720 670 700 7200 7000;
36, 67 740 750 740 720 7400 7200 6900 6500;
37, 67 720 700 670 680 690 7000 6700 7200;
38, 67 740 720 700 7000;
39, 67 70 700 670 6500;
40, 74 75 77 700 720 740 7400;
41, 70 820 790 770 700 7700 7500;
42, 74 75 77 700 720 740 7400;
43, 70 820 790 770 700 7700 7500;
44, 74 75 77 700 720 740 7400;
45, 70 820 790 770 700 7700 7500;
46, 74 75 77 700 720 740 7400;
47, 70 820 790 770 700 7700 7500;
48, 74 75 77 700 720 700 670 6500;
49, 67 740 750 740 700 720 670 700 700 670 7500 7400 7000 7200;
50, 70 700 670 680 690 7000 6700 7200;
51, 67 720 700 670 6500;
52, 67 720 700 670 740 7500 7400;
53, 67 720 700 7000;
54, 67 70 67 740 750 740 720 700 670 730 700 7200;
55, 67 740 750 740 700 720 700 670 740 7500 7400;
56, 67 740 750 740 720 7400 7200 6900 6500;
57, 67 740 750 740 700 720 670 700 700 670 680 690 7000 6700 7200;
58, 67 740 720 7400 7200 6900 6500;
59, 67 720 700 670 740 7500 7400 7000 7200;
60, 70 700 670 750 740 720 700 670 740 7500 7400 7000 7200;
61, 70 67 740 750 740 720 700 670 7500 7400;
62, 67 740 750 740 720 7400 7200 6900 6500;
63, 67 720 700 670 7500 7400;
64, 67 740 750 740 720 700 670 750 740 700 720 740 7400;
65, 70 820 790 770 700 7700 7500;
66, 74 75 77 700 720 670 700 7200;
67, 70 700 670 680 690 7000 6700 7200;
68, 67 740 750 740 720 700 670 6500;
69, 67 720 700 7000;
70, 67 740 750 740 720 7400 7200 6900 6500;
71, 67 70 700 670 680 690 7000 6700 7200;
72, 67 740 750 740 700 720 740 7400;
73, 70 820 790 770 700 7700 7500;
74, 74 75 77 700 720 670 700 700 670 680 690 7000 6700 7200;
75, 74 75 77 700 720 740 7400;
76, 70 820 790 770 700 7700 7500;
77, 74 75 77 700 720 670 700 700 670 680 690 7000 6700 7200;
78, 67 740 720 700 670 680 690 7000 6700 7200;
79, 67 720 700 670 6500;
80, 74 75 77 700 720 670 700 7500 7200;
81, 74 75 77 700 720 740 7400;
82, 70 820 790 770 700 7700 7500;
83, 74 75 77 700 720 700 7000;
84, 67 720 700 7000;
85, 67 740 750 740 700 720 740 7400;
86, 70 820 790 770 700 7700 7500;
87, 74 75 77 700 720 700 670 7500 7400;
88, 67 70 700 670 680 690 7000 6700 7200;
89, 67 720 700 670 680 690 7000 6700 7200;
90, 74 75 77 700 720 670 700 7500 7200;
91, 74 75 77 700 720 700 670 7500 7400 7000 7200;
92, 70 700 670 7500 7400;
93, 67 740 750 740 720 700 670 740 7500 7400;
